DATE,CLOSE
26/06/2018,10.8
25/06/2018,10.5
22/06/2018,10.1
21/06/2018,10.2
20/06/2018,10.85
19/06/2018,10.75
18/06/2018,10.8
15/06/2018,0
14/06/2018,10.55
13/06/2018,10.65
12/06/2018,10.5
11/06/2018,0
08/06/2018,10.4
07/06/2018,10.2
06/06/2018,10.35
05/06/2018,10.4
04/06/2018,10.4
01/06/2018,10.2
31/05/2018,10.3
30/05/2018,0
29/05/2018,10.4
28/05/2018,10.5
25/05/2018,0
24/05/2018,0
23/05/2018,0
22/05/2018,10.5
21/05/2018,10.5
18/05/2018,10.45
17/05/2018,10.5
16/05/2018,10.5
15/05/2018,0
14/05/2018,10.4
07/05/2018,10.5
04/05/2018,10.6
03/05/2018,10.55
02/05/2018,0
27/04/2018,10.55
26/04/2018,10.55
24/04/2018,10.5
23/04/2018,10.45
20/04/2018,10.5
19/04/2018,10.55
18/04/2018,0
17/04/2018,10.5
16/04/2018,0
13/04/2018,10.45
12/04/2018,10.45
11/04/2018,10.45
10/04/2018,10.45
09/04/2018,10.3
06/04/2018,10.45
05/04/2018,10.5
04/04/2018,10.5
03/04/2018,10.75
02/04/2018,10.5
30/03/2018,11
29/03/2018,0
28/03/2018,10.5
23/03/2018,10.45
22/03/2018,10.45
21/03/2018,10.5
20/03/2018,10.5
19/03/2018,10.55
16/03/2018,10.2
15/03/2018,10
14/03/2018,10.5
13/03/2018,10.5
12/03/2018,10.45
09/03/2018,10
08/03/2018,0
07/03/2018,10.5
06/03/2018,10.05
05/03/2018,0
02/03/2018,10.65
01/03/2018,10.65
28/02/2018,10.7
27/02/2018,0
26/02/2018,10.8
23/02/2018,10.8
22/02/2018,0
21/02/2018,10.9
13/02/2018,10.95
12/02/2018,10.9
09/02/2018,10.65
08/02/2018,10.2
07/02/2018,10.95
06/02/2018,10.9
05/02/2018,10.95
02/02/2018,10.45
01/02/2018,9.86
31/01/2018,10.35
30/01/2018,10.25
29/01/2018,10.25
26/01/2018,10.3
25/01/2018,10.6
22/01/2018,10.6
19/01/2018,0
18/01/2018,10.2
17/01/2018,10.25
16/01/2018,10.25
15/01/2018,10.3
12/01/2018,10.1
11/01/2018,9.6
10/01/2018,10.25
09/01/2018,10.35
08/01/2018,10.4
05/01/2018,10.45
04/01/2018,10
03/01/2018,10
02/01/2018,10.35
29/12/2017,10.35
28/12/2017,10.6
27/12/2017,10.6
26/12/2017,9.91
25/12/2017,10.6
22/12/2017,10.6
21/12/2017,10.3
20/12/2017,9.71
19/12/2017,10.4
18/12/2017,10.4
15/12/2017,10.3
14/12/2017,10.35
13/12/2017,10.2
12/12/2017,10.2
11/12/2017,10
08/12/2017,10.25
07/12/2017,10.2
06/12/2017,10.4
05/12/2017,0
04/12/2017,10.4
01/12/2017,10.45
30/11/2017,10.45
29/11/2017,0
28/11/2017,10.5
27/11/2017,10.5
24/11/2017,10.5
23/11/2017,10.5
22/11/2017,10.5
21/11/2017,10.6
20/11/2017,10.6
17/11/2017,10.2
16/11/2017,10.25
15/11/2017,0
14/11/2017,10.4
13/11/2017,10.75
10/11/2017,10.3
09/11/2017,10.3
08/11/2017,0
07/11/2017,0
06/11/2017,0
03/11/2017,10.6
02/11/2017,0
01/11/2017,0
31/10/2017,10.3
30/10/2017,10.55
27/10/2017,0
26/10/2017,0
25/10/2017,10.3
24/10/2017,10
23/10/2017,0
20/10/2017,10.4
19/10/2017,9.81
18/10/2017,10.5
17/10/2017,10.5
16/10/2017,10.5
13/10/2017,10.3
12/10/2017,9.66
11/10/2017,0
10/10/2017,10.2
09/10/2017,10.2
06/10/2017,10.1
05/10/2017,10.1
04/10/2017,0
03/10/2017,10.1
02/10/2017,10.15
29/09/2017,10.2
28/09/2017,10.2
27/09/2017,9.55
26/09/2017,0
25/09/2017,0
22/09/2017,10.25
21/09/2017,10.25
20/09/2017,10.3
19/09/2017,0
18/09/2017,10.2
15/09/2017,0
14/09/2017,10.25
13/09/2017,10.3
12/09/2017,0
11/09/2017,10.3
08/09/2017,10.25
07/09/2017,10.25
06/09/2017,10.25
05/09/2017,10.25
01/09/2017,10.25
31/08/2017,10.3
30/08/2017,10.3
29/08/2017,0
28/08/2017,10.3
25/08/2017,10.25
24/08/2017,9.68
23/08/2017,0
22/08/2017,10.3
21/08/2017,10.3
18/08/2017,10.2
17/08/2017,9.75
16/08/2017,0
15/08/2017,10.4
14/08/2017,10.4
11/08/2017,10.4
10/08/2017,10.4
09/08/2017,10.35
08/08/2017,10.3
07/08/2017,10
04/08/2017,10.25
03/08/2017,10.2
02/08/2017,10.3
01/08/2017,10
31/07/2017,10.35
28/07/2017,10.25
27/07/2017,10.35
26/07/2017,10.1
25/07/2017,10.5
24/07/2017,0
21/07/2017,10.85
20/07/2017,10.75
19/07/2017,10.8
18/07/2017,10.8
17/07/2017,10.75
14/07/2017,10.8
13/07/2017,10.75
12/07/2017,10.8
11/07/2017,10.75
10/07/2017,10.5
07/07/2017,10.6
06/07/2017,0
05/07/2017,10
04/07/2017,10
03/07/2017,10.6
30/06/2017,10.6
29/06/2017,10.5
28/06/2017,10.6
27/06/2017,10.6
26/06/2017,10.6
23/06/2017,10.6
22/06/2017,10.5
21/06/2017,0
20/06/2017,10.5
19/06/2017,10.5
16/06/2017,9.92
15/06/2017,10.45
14/06/2017,9.81
13/06/2017,10.35
12/06/2017,10.5
09/06/2017,10.5
08/06/2017,10.3
07/06/2017,10.2
06/06/2017,0
05/06/2017,10
02/06/2017,9.85
01/06/2017,9.93
31/05/2017,9.93
30/05/2017,10
29/05/2017,9.86
26/05/2017,9.43
25/05/2017,9.9
24/05/2017,9.7
23/05/2017,9.37
22/05/2017,9.36
19/05/2017,9.8
18/05/2017,9.8
17/05/2017,9.7
16/05/2017,9.53
15/05/2017,9.8
12/05/2017,9.45
11/05/2017,9.7
10/05/2017,9.78
09/05/2017,10
08/05/2017,9.7
05/05/2017,9.35
04/05/2017,9.94
03/05/2017,9.6
28/04/2017,0
27/04/2017,10
26/04/2017,9.9
25/04/2017,9.51
24/04/2017,10
21/04/2017,9.9
20/04/2017,9.9
19/04/2017,9.63
18/04/2017,10
17/04/2017,10
14/04/2017,9.51
13/04/2017,10
12/04/2017,9.93
11/04/2017,9.95
10/04/2017,10
07/04/2017,10
05/04/2017,10.05
04/04/2017,10.2
03/04/2017,10.1
31/03/2017,10.2
30/03/2017,9.6
29/03/2017,10.1
28/03/2017,10.6
27/03/2017,10.75
24/03/2017,10.2
23/03/2017,10
22/03/2017,10
21/03/2017,10.3
20/03/2017,10.4
17/03/2017,10
16/03/2017,9.8
15/03/2017,10.5
14/03/2017,10.4
13/03/2017,0
10/03/2017,9.9
09/03/2017,10.35
08/03/2017,0
07/03/2017,10.3
06/03/2017,10.4
03/03/2017,10.3
02/03/2017,10.4
01/03/2017,10.5
28/02/2017,0
27/02/2017,10.5
24/02/2017,10
23/02/2017,10.7
22/02/2017,10.7
21/02/2017,10.9
20/02/2017,10.6
17/02/2017,10.5
16/02/2017,10.15
15/02/2017,10.5
14/02/2017,10.5
10/02/2017,10.8
09/02/2017,10.7
08/02/2017,10.7
07/02/2017,10.8
06/02/2017,11
03/02/2017,11
02/02/2017,11
25/01/2017,11
24/01/2017,10.75
23/01/2017,10.7
20/01/2017,10.7
19/01/2017,10.75
18/01/2017,10.75
17/01/2017,10.75
16/01/2017,10.9
13/01/2017,10.8
12/01/2017,10.8
11/01/2017,11
10/01/2017,10.8
09/01/2017,11
06/01/2017,10.7
05/01/2017,10
04/01/2017,10.7
03/01/2017,10.15
30/12/2016,9.52
29/12/2016,8.9
28/12/2016,9.5
27/12/2016,10.2
26/12/2016,10.3
23/12/2016,10.4
22/12/2016,10.65
21/12/2016,10.6
20/12/2016,10.35
19/12/2016,10.35
16/12/2016,10
15/12/2016,10.3
14/12/2016,10
13/12/2016,10.3
12/12/2016,10.6
09/12/2016,10.05
08/12/2016,10.8
07/12/2016,10.8
06/12/2016,10.7
05/12/2016,10.7
02/12/2016,10.7
01/12/2016,10.6
30/11/2016,10.2
29/11/2016,0
28/11/2016,10.9
25/11/2016,10.7
24/11/2016,10.7
23/11/2016,10.7
22/11/2016,10.6
21/11/2016,10.7
18/11/2016,10.6
17/11/2016,10.3
16/11/2016,10.5
15/11/2016,10.5
14/11/2016,10.4
11/11/2016,10.9
10/11/2016,10.3
09/11/2016,0
08/11/2016,11
07/11/2016,10.5
04/11/2016,10.85
03/11/2016,10.7
02/11/2016,0
01/11/2016,11.5
31/10/2016,11.4
28/10/2016,0
27/10/2016,0
26/10/2016,0
25/10/2016,10.7
24/10/2016,10.7
21/10/2016,10.4
20/10/2016,10.5
19/10/2016,11.1
18/10/2016,10.5
17/10/2016,11.15
14/10/2016,11.4
13/10/2016,10.9
12/10/2016,10.3
11/10/2016,10.4
10/10/2016,10.4
07/10/2016,0
06/10/2016,10.9
05/10/2016,11.7
04/10/2016,11.7
03/10/2016,11
30/09/2016,10.7
29/09/2016,10.85
28/09/2016,10.2
27/09/2016,10.4
26/09/2016,10.3
23/09/2016,10.1
22/09/2016,10.1
21/09/2016,10.7
20/09/2016,10.15
19/09/2016,0
16/09/2016,10.9
15/09/2016,10.7
14/09/2016,10.15
13/09/2016,10.9
12/09/2016,10.6
09/09/2016,11.3
08/09/2016,10.8
07/09/2016,10.6
06/09/2016,10.1
05/09/2016,10.2
01/09/2016,10.4
31/08/2016,10.7
30/08/2016,10.1
29/08/2016,10
26/08/2016,10.6
25/08/2016,10.6
24/08/2016,10
23/08/2016,10.3
22/08/2016,10.5
19/08/2016,9.9
18/08/2016,10.2
17/08/2016,10
16/08/2016,10
15/08/2016,10.3
12/08/2016,0
11/08/2016,10.3
10/08/2016,10.2
09/08/2016,10.2
08/08/2016,0
05/08/2016,10.5
04/08/2016,10.5
03/08/2016,10.4
02/08/2016,10.4
01/08/2016,9.8
29/07/2016,9.6
28/07/2016,10.2
27/07/2016,10.2
26/07/2016,10.2
25/07/2016,10.4
22/07/2016,10.4
21/07/2016,10.5
20/07/2016,10.6
19/07/2016,10.8
18/07/2016,10.6
15/07/2016,10.9
14/07/2016,10.6
13/07/2016,10.6
12/07/2016,10.6
11/07/2016,10.5
08/07/2016,10.6
07/07/2016,10.2
06/07/2016,10.9
05/07/2016,11.3
04/07/2016,10.9
01/07/2016,0
30/06/2016,10.9
29/06/2016,0
28/06/2016,0
27/06/2016,0
24/06/2016,0
23/06/2016,10.9
22/06/2016,10.9
21/06/2016,11
20/06/2016,11
17/06/2016,11
16/06/2016,10.5
15/06/2016,0
14/06/2016,11.1
13/06/2016,11.1
10/06/2016,11.1
09/06/2016,0
08/06/2016,11.9
07/06/2016,11.9
06/06/2016,11.7
03/06/2016,0
02/06/2016,0
01/06/2016,0
31/05/2016,11.9
30/05/2016,11.7
27/05/2016,12
26/05/2016,0
25/05/2016,11.4
24/05/2016,11.4
23/05/2016,10.8
20/05/2016,11.2
19/05/2016,11
18/05/2016,11
17/05/2016,11
16/05/2016,11.3
13/05/2016,11.4
12/05/2016,11
11/05/2016,11.4
10/05/2016,10.7
09/05/2016,10.8
06/05/2016,10.9
05/05/2016,10.8
04/05/2016,10.8
29/04/2016,10.7
28/04/2016,10.7
27/04/2016,10.7
26/04/2016,10.8
25/04/2016,10.7
22/04/2016,10.2
21/04/2016,10.1
20/04/2016,10.1
19/04/2016,10.1
15/04/2016,10.3
14/04/2016,10.7
13/04/2016,10.3
12/04/2016,10.3
11/04/2016,10.9
08/04/2016,10.9
07/04/2016,10.9
06/04/2016,10.9
05/04/2016,0
04/04/2016,11
01/04/2016,10.8
31/03/2016,10.9
30/03/2016,10.9
29/03/2016,10.7
28/03/2016,11.2
25/03/2016,11
24/03/2016,11.2
23/03/2016,11.1
22/03/2016,11.9
21/03/2016,11.2
18/03/2016,10.6
17/03/2016,11
16/03/2016,11.5
15/03/2016,11.6
14/03/2016,10.9
11/03/2016,11.7
10/03/2016,11.2
09/03/2016,10.8
08/03/2016,11.4
07/03/2016,11.5
04/03/2016,11.3
03/03/2016,11.3
02/03/2016,11.3
01/03/2016,11.1
29/02/2016,10.9
26/02/2016,10.9
25/02/2016,10.9
24/02/2016,11.5
23/02/2016,11.8
22/02/2016,11.1
19/02/2016,11.8
18/02/2016,11.2
17/02/2016,11
16/02/2016,10.4
15/02/2016,10.4
05/02/2016,10.3
04/02/2016,10.2
03/02/2016,10.2
